Policy,pvfp_mgr_central,pv_liab_mgr_central,pvfp_mgr_lup,pv_liab_mgr_lup,pvfp_mgr_ldw,pv_liab_mgr_ldw,pvfp_mgr_mort,pv_liab_mgr_mort,pvfp_mgr_long,pv_liab_mgr_long,pvfp_mgr_cat,pv_liab_mgr_cat,pvfp_mgr_lmass,pv_liab_mgr_lmass,pvfp_central,pv_liab_central,pvfp_lup,pv_liab_lup,pvfp_ldw,pv_liab_ldw,pvfp_mort,pv_liab_mort,pvfp_long,pv_liab_long,pvfp_cat,pv_liab_cat,pvfp_lmass,pv_liab_lmass,Fund_Name,choc_mort,choc_long,choc_lup,choc_ldw,choc_lmass,choc_cat,choc_mort_mgr,choc_long_mgr,choc_lup_mgr,choc_ldw_mgr,choc_lmass_mgr,choc_cat_mgr
LCVI0952844,541.0737903019246,-2052.485997393517,538.8503014383748,-2048.388745208602,543.2972959191746,-2056.590548222756,540.812804792283,-2052.265722979761,541.4218105638814,-2052.779729178294,541.0718499586694,-2052.48435588717,563.767665067448,-2008.981332024329,541.0737903019246,-2052.485997393517,538.8503014383748,-2048.388745208602,543.2972959191746,-2056.590548222756,540.812804792283,-2052.265722979761,541.4218105638814,-2052.779729178294,541.0718499586694,-2052.48435588717,563.767665067448,-2008.981332024329,LXCLAWOPB,0.0,0.29373178477680995,0.0,4.104550829238633,0.0,0.0,0.0,0.29373178477680995,0.0,4.104550829238633,0.0,0.0
LCVI0952899,104.6779138001446,-35707.39861176614,119.0596156046543,-35675.91913873608,90.20599828699528,-35738.9895263984,101.7618702123827,-35708.47140570998,108.5668519485887,-35705.96781297021,104.6564778766794,-35707.40624920991,609.4922133167646,-34672.57706840563,104.6779138001446,-35707.39861176614,119.0596156046543,-35675.91913873608,90.20599828699528,-35738.9895263984,101.7618702123827,-35708.47140570998,108.5668519485887,-35705.96781297021,104.6564778766794,-35707.40624920991,609.4922133167646,-34672.57706840563,LXCLA,1.0727939438365865,0.0,0.0,31.590914632259228,0.0,0.007637443770363461,1.0727939438365865,0.0,0.0,31.590914632259228,0.0,0.007637443770363461
LCVI0952984,911.2088091832612,-30467.105466136,932.1793514441706,-30405.68494719933,889.8290135307807,-30529.24742587617,904.0338281475574,-30471.16404523161,920.7821639074414,-30461.69017158984,911.1724791647288,-30467.12572145148,1392.343925307201,-29255.23853659874,911.2088091832612,-30467.105466136,932.1793514441706,-30405.68494719933,889.8290135307807,-30529.24742587617,904.0338281475574,-30471.16404523161,920.7821639074414,-30461.69017158984,911.1724791647288,-30467.12572145148,1392.343925307201,-29255.23853659874,LXCLA,4.058579095610185,0.0,0.0,62.14195974016911,0.0,0.020255315481335856,4.058579095610185,0.0,0.0,62.14195974016911,0.0,0.020255315481335856
LCVI0952993,389.7356321757375,-64334.73139789057,421.1455722470287,-64271.75419217687,358.0706364353746,-64398.02257636894,382.446235410996,-64339.6136207931,399.4568855781145,-64328.22028429221,389.6827842123575,-64334.76637760216,1199.606711846654,-62410.91773997486,389.7356321757375,-64334.73139789057,421.1455722470287,-64271.75419217687,358.0706364353746,-64398.02257636894,382.446235410996,-64339.6136207931,399.4568855781145,-64328.22028429221,389.6827842123575,-64334.76637760216,1199.606711846654,-62410.91773997486,LXCLA,4.882222902524518,0.0,0.0,63.2911784783646,0.0,0.034979711585037876,4.882222902524518,0.0,0.0,63.2911784783646,0.0,0.034979711585037876
LCVI0953038,210.9927274919276,-25864.35734519214,220.9414773724357,-25839.34405591735,200.9703273254579,-25889.46974552202,210.1628448289036,-25864.55016526258,212.0993510003866,-25864.10021599121,210.9866421984905,-25864.35867499089,583.6551374035021,-25101.9489789463,210.9927274919276,-25864.35734519214,220.9414773724357,-25839.34405591735,200.9703273254579,-25889.46974552202,210.1628448289036,-25864.55016526258,212.0993510003866,-25864.10021599121,210.9866421984905,-25864.35867499089,583.6551374035021,-25101.9489789463,LXCLA,0.19282007043875637,0.0,0.0,25.112400329879165,0.0,0.0013297987497935537,0.19282007043875637,0.0,0.0,25.112400329879165,0.0,0.0013297987497935537
LCVI0953189,634.0759972389886,-1292.888123337241,630.6332324331468,-1288.44322745072,637.5244275580973,-1297.344377236732,633.8702871517772,-1292.697719211753,634.3503139709601,-1293.142029184198,634.0746035760071,-1292.886831832026,646.9052052059586,-1270.122719907419,634.0759972389886,-1292.888123337241,630.6332324331468,-1288.44322745072,637.5244275580973,-1297.344377236732,633.8702871517772,-1292.697719211753,634.3503139709601,-1293.142029184198,634.0746035760071,-1292.886831832026,646.9052052059586,-1270.122719907419,LXCLAWOPB,0.0,0.25390584695696816,0.0,4.456253899491003,0.0,0.0,0.0,0.25390584695696816,0.0,4.456253899491003,0.0,0.0
LCVI0953204,-71.85525869219566,-20193.29230816004,-71.67581274458064,-20193.11249253861,-72.03298093676642,-20193.47039652746,-71.85525920991643,-20193.29230816004,-71.85525800191465,-20193.29230816004,-71.85525920991643,-20193.29230816004,9.341038420438387,-20111.92873981271,-71.85525869219566,-20193.29230816004,-71.67581274458064,-20193.11249253861,-72.03298093676642,-20193.47039652746,-71.85525920991643,-20193.29230816004,-71.85525800191465,-20193.29230816004,-71.85525920991643,-20193.29230816004,9.341038420438387,-20111.92873981271,LXCLA,0.0,0.0,0.0,0.1780883674218785,0.0,0.0,0.0,0.0,0.0,0.1780883674218785,0.0,0.0
LCVI0953208,374.5727243898114,-50881.17294781072,400.9267702291045,-50825.01601368355,347.9722585169939,-50937.66077847722,368.6652688522136,-50884.79138038438,382.4517020665335,-50876.34683265622,374.5326925877293,-50881.19710507603,1227.241257243858,-49122.95892886794,374.5727243898114,-50881.17294781072,400.9267702291045,-50825.01601368355,347.9722585169939,-50937.66077847722,368.6652688522136,-50884.79138038438,382.4517020665335,-50876.34683265622,374.5326925877293,-50881.19710507603,1227.241257243858,-49122.95892886794,LXCLA,3.6184325736539904,0.0,0.0,56.48783066649776,0.0,0.02415726531035034,3.6184325736539904,0.0,0.0,56.48783066649776,0.0,0.02415726531035034
LCVI0953296,425.6771047215998,-69286.74446223579,465.6788776412932,-69205.442069881,385.2757077641709,-69368.58825707156,409.5292172465374,-69297.55119770477,447.2204679149754,-69272.32649897119,425.5696842907046,-69286.81552082904,1569.694288315232,-66846.80565720552,425.6771047215998,-69286.74446223579,465.6788776412932,-69205.442069881,385.2757077641709,-69368.58825707156,409.5292172465374,-69297.55119770477,447.2204679149754,-69272.32649897119,425.5696842907046,-69286.81552082904,1569.694288315232,-66846.80565720552,LXCLA,10.806735468984698,0.0,0.0,81.84379483577504,0.0,0.0710585932538379,10.806735468984698,0.0,0.0,81.84379483577504,0.0,0.0710585932538379
LCVI0953468,-320.7467921158939,-56864.82370525766,-318.4486452855948,-56862.06922453469,-323.0260348407834,-56867.55546289948,-320.8051156616056,-56864.84552943491,-320.669085988149,-56864.79462827111,-320.7473782269144,-56864.82392342965,97.89830275611985,-56331.30872576302,-320.7467921158939,-56864.82370525766,-318.4486452855948,-56862.06922453469,-323.0260348407834,-56867.55546289948,-320.8051156616056,-56864.84552943491,-320.669085988149,-56864.79462827111,-320.7473782269144,-56864.82392342965,97.89830275611985,-56331.30872576302,LXCLA,0.021824177252710797,0.0,0.0,2.7317576418208773,0.0,0.0002181719901273027,0.021824177252710797,0.0,0.0,2.7317576418208773,0.0,0.0002181719901273027
