Policy,pvfp_central,pv_liab_central,pvfp_mgr_central,pv_liab_mgr_central,pvfp_mort,pv_liab_mort,pvfp_mgr_mort,pv_liab_mgr_mort,pvfp_long,pv_liab_long,pvfp_mgr_long,pv_liab_mgr_long,pvfp_lup,pv_liab_lup,pvfp_mgr_lup,pv_liab_mgr_lup,pvfp_ldw,pv_liab_ldw,pvfp_mgr_ldw,pv_liab_mgr_ldw,pvfp_lmass,pv_liab_lmass,pvfp_mgr_lmass,pv_liab_mgr_lmass,pvfp_cat,pv_liab_cat,pvfp_mgr_cat,pv_liab_mgr_cat
1200760,72691.926286673,-1050624.4788865,61431.712912007,-868509.5094197,71362.367343949,-1050293.4339382,60643.266090303,-872881.94898574,74685.073592543,-1051128.6649329,62583.638723001,-862002.17861302,52030.976192704,-1044788.479011,45604.404890562,-924868.57348304,105630.12981645,-1061001.2135181,85146.048608595,-771485.00075118,46893.156491786,-1041508.3836148,39614.806090899,-923793.33533622,72585.915267402,-1050590.7141541,61342.593624047,-868748.9399661
1200761,15192.367750117,-318204.87884902,11874.852997158,-264361.03121111,14827.384424531,-318073.17153258,11670.922780306,-265637.23583626,15743.469205562,-318401.51225298,12175.121383288,-262456.42327732,11205.678802846,-314363.90892701,9309.5849788187,-278874.76264471,19655.180590186,-326520.46214774,13629.636573389,-241019.42065986,9677.7952104906,-313382.14534181,7533.4277790105,-278578.68496313,15170.017678595,-318185.85182817,11857.479622286,-264422.77685176
1200762,18788.621241582,-367615.39867207,14943.655364561,-305210.92656819,18359.48053385,-367468.87997443,14701.173572789,-306696.16349981,19435.915708858,-367834.72130633,15300.236854153,-302994.93185056,13772.998450918,-363558.84439933,11575.444982162,-322427.28459592,24941.708150988,-376272.34299852,17958.163883579,-277177.50500951,12001.107218442,-362422.08006292,9515.8071622835,-322085.22325199,18761.032396679,-367595.03188751,14921.834460488,-305284.17447727
1200767,11445.091709212,-206586.97447123,9095.5146238326,-169930.65592177,11224.353498311,-206515.10658691,8974.7953321037,-170679.06998676,11772.843887958,-206693.85728332,9270.9069387998,-168830.64820407,8253.5762183676,-204382.31054305,6934.4638823036,-180512.29253433,15681.236898849,-211313.76590379,11328.624170506,-152262.57364878,7322.9788325663,-203774.12315024,5804.4009873874,-180082.42408601,11428.292765758,-206575.97434769,9082.2402874838,-169974.64404341
1200768,31423.284110184,-473354.22609596,25983.654554897,-388489.25400784,30891.845540383,-473208.23689652,25683.775048302,-390242.34271604,32210.450274241,-473573.30627156,26418.084380485,-385914.19840611,22369.68292794,-469914.84833489,19315.736541313,-414652.11349915,45453.030637998,-480075.04581075,35376.067857275,-343362.52309164,20228.677669826,-468493.33197451,16712.938186308,-413643.43271108,31377.358074478,-473335.79304876,25945.888522582,-388598.12714077
1200781,27137.590359121,-449619.84474097,23131.631698434,-379285.09986202,26441.153393714,-449207.28199969,22669.046204604,-381301.42189005,28216.548605327,-450253.2785807,23827.050524697,-376140.48052545,20400.268026206,-444507.77281004,17901.693768459,-395032.5865918,36645.628871473,-458149.48924073,30056.743021747,-354650.17806521,17462.100043924,-442267.97805384,14872.970234702,-396809.25018996,27098.089318211,-449590.65093635,23098.140916951,-379361.43137588
1200782,45321.817924209,-714054.52575527,38941.151327903,-602025.7717861,44191.725338877,-713418.21035112,38183.535944554,-605258.16927355,47070.105565698,-715033.72581599,40078.539713437,-596987.31172024,33922.153827157,-706580.54671972,29942.439942125,-627776.77094771,61964.078843478,-726142.57665865,51469.341526091,-561289.50315113,29207.734149963,-703047.53883193,25083.783933169,-630641.15350446,45255.914687698,-714011.01225953,38884.821196062,-602150.33837597
1200791,24.152016991822,-48977.699214696,-743.66227083903,-39069.019586058,24.152016991822,-48977.699214696,-743.66227083903,-39069.019586058,24.152016991822,-48977.699214696,-743.66227083903,-39069.019586058,110.22303457851,-47340.312317639,-289.28087843358,-41211.869836857,-1494.7876256927,-53291.483496398,-3039.0175710918,-36305.429916606,-56.958637538866,-47286.269203503,-553.21210118011,-40882.094829886,24.152016991822,-48977.699214696,-743.66227083903,-39069.019586058
1200792,23393.271721308,-319861.42849636,18014.783836308,-250451.78845236,23393.271721308,-319861.42849636,18014.783836308,-250451.78845236,23393.271721308,-319861.42849636,18014.783836308,-250451.78845236,15865.599868028,-316522.23606256,13067.101598067,-273592.90515635,35605.293353632,-327227.10718775,24788.065562198,-208240.93456653,15040.275393026,-315797.89566211,11564.052972596,-270937.08123361,23393.271721308,-319861.42849636,18014.783836308,-250451.78845236
1200799,15852.33901323,-639334.82014709,12646.974185648,-557355.29605708,15179.595278147,-638298.7319951,12193.334123595,-559875.441073,16921.629003029,-640926.59899977,13350.437683469,-553262.9022289,13014.23802076,-628883.18235081,10919.846323556,-569057.20524952,17575.516854455,-657000.61274974,12569.092738676,-541447.08600508,9985.9425497912,-624274.74830465,7914.252268519,-571289.77078846,15829.097497393,-639274.18705726,12628.542730322,-557417.6837442
